track,cluster_l1,umap_x,umap_y
Oliver Lieb - Oasis 2020 (Frankyeffe Remix).mp3,H,6.79473,7.2275023
Oliver Lieb - Red Phosphorous (Reduced Mix).mp3,H,6.689684,7.1374226
Paperclip People - Throw (Slam's RTM Remix).mp3,A,11.079807,5.013646
Paulor - Spaceship (Vitalic Remix).mp3,G,13.983917,7.542192
"Peer Kusiv, Lenny - Toxic Temptation (Undercatt Remix).mp3",Noise,11.140093,5.9315915
"Peshay, Vsy - Universalis.mp3",A,11.234271,4.877355
"Pete Tong, John Monkman - Aquarius.mp3",D,8.956277,9.1462345
Pig & Dan - Return To Mono.MP3,Noise,12.584028,7.6974034
Pig & Dan and M.E.M.O. - Viking Princess.mp3,Noise,9.830198,8.5561285
Pig&Dan (Destination Unknown) - Positive Vibrations.mp3,L,11.336407,6.722205
"Pig&Dan, Victor Ruiz - Paradise Lost.mp3",H,6.729928,7.20167
Pole Folder - Waxxx (Pole Folder & CP Mix).mp3,Noise,8.4568205,6.8204246
Pryda - The Beginning.mp3,G,14.033652,7.5042067
Quivver - Takin Over (Vincenzo Remix).mp3,I,13.162545,6.671338
RDNK - Guess the Number.mp3,B,11.191834,9.598628
Radio Slave - Stay Out All Night.mp3,H,7.322739,7.351846
Redsea (IT) - Around My Head (The Drifter Remix).mp3,I,12.475749,7.0421443
Rex the Dog - Vortex (Krystal Klear Remix).mp3,Noise,9.939873,7.3974757
Rob Hes - Army Of One.mp3,Noise,8.809035,8.075973
Robert Babicz - Shifting Reality.mp3,D,9.364824,8.840288
"Roderic, Jacqueline Jones - Passengers (Acid Pauli Remix).mp3",N,10.95367,7.6479936
Rogue D - Burning.mp3,Noise,11.453348,6.223671
Sainte Vie - High Seas.mp3,M,12.403285,8.006993
Saints and Sinners - Pushin too hard (The Official 2003 Remix).mp3,Noise,13.931578,7.004016
Sall - Get Ready.mp3,H,6.7343082,7.0857496
Sam Goku - Momentum.mp3,D,9.498176,8.745044
Sam Goku - Odd Speech.mp3,N,9.5712185,7.461068
Sam Goku - Zero One Lotus.mp3,Noise,9.554873,7.207304
"Sandy Rivera, Rae - Hide U (Chicola Extended Remix).wav",M,12.625193,8.887693
"Sebjak, Fahlberg - Chaka.mp3",I,12.483553,6.6048064
Sharif Laffrey - Sounds To Come.mp3,Noise,13.599898,6.758449
Shouse - Love Tonight (Mike Simonetti Remix).mp3,N,9.679103,7.804308
Slow Nomaden - Eternal Blue Sky.mp3,N,10.921052,7.4050636
Sobek - Charmer.mp3,I,12.6418495,6.917175
Spieltape - All Of You (Oliver Schories Remix).mp3,B,11.338438,9.158558
Stelios Vassiloudis - Coma.mp3,E,9.352473,9.566178
Steve Parry - Flippant.mp3,I,12.273463,6.87336
Sunscreem - Perfect Motion (Patrice Bäumel Renaissance Remix).mp3,Noise,10.57088,9.455767
Super Flu - Really Really.mp3,Noise,12.54585,7.569728
Tapan feat. Radwan Ghazi Moumneh - In My Heart feat. Radwan Ghazi Moumneh (Khidja Remix).mp3,I,12.889483,6.233764
The Japanese Popstars feat. Green Velvet - Matter of Time (Coyu 2020 Rework).mp3,H,6.725918,7.246863
Tibi Dabo - Disbelieve my-free-mp3s.com .mp3,E,9.439532,9.495684
Tibi Dabo - Her Moon.mp3,D,9.513398,8.559398
Tibi Dabo - Hire The Birds.mp3,L,9.944195,6.2274017
Timboletti - Dhunche.mp3,Noise,12.411411,7.6643724
Timo Maas - Brummer.mp3,D,9.29038,8.509394
Timo Maas - The Religion of Love (Kotelett Bonus Mix) (Kotelett Bonus Mix) myfreemp3.vip .mp3,J,13.091443,8.926768
Timo Maas - The Religion of Love (Kotelett Unconditional Love Version) (Kotelett Unconditional Love Version) myfreemp3.vip .mp3,M,12.580705,9.123721
Timo Maas - The Religion of Love.mp3,F,11.613914,6.1312156
Tocadisco - Paradiesvogel.mp3,G,13.238583,7.8578916
Tosca - Pyjama Stereotype Mix #1.mp3,L,10.372522,6.078413
Troy Pierce - Lost On The Way To DC10 (Berlin Version).mp3,E,9.42073,9.400005
Tunnelvisions - M.G.M.M..mp3,P,10.499121,8.207647
VSY - Aria.mp3,Noise,13.422129,6.403764
VSY - Devolve.mp3,Noise,8.686964,7.171294
VSY - Find Me.mp3,N,8.426171,7.72182
VSY - Fragment.mp3,A,10.5046835,5.2121983
VSY - I Want.mp3,M,11.996865,9.531365
VSY - Sections.mp3,H,7.651857,7.0253043
VSY - The Void.mp3,L,10.49973,6.0685697
VSY - Tick Tock.mp3,A,10.46657,5.026093
VSY - Turtles.mp3,Noise,11.733534,8.99842
VSY - Walk Deep.mp3,Noise,12.000968,7.200348
Whitesquare - Visual Distortion of Reality.mp3,I,12.725714,6.6054554
Yamil - Never No Right (Djolee Remix).mp3,M,12.437773,8.073025
Yotto - Nova (Extended Mix).mp3,M,11.96757,9.370639
Yotto - Walls (Joris Voorn).mp3,A,10.832652,4.9831424
Yulia Niko - Sound Factory.mp3,H,7.230412,7.250596
nthng - Untitled (Human Pt. II).mp3,N,8.583381,7.356075
